INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../src/tb_mlp.cpp in debug mode
   Compiling ../../../../../src/mlp.cpp in debug mode
   Generating csim.exe
opening file: network_inputs_fullbatch.dat
opening file: theta1.dat
opening file: theta2.dat
opening file: network_outputs_fullbatch.dat

L1 weights matrix read in successfully

L2 weights matrix read in successfully

beginning test
i=0, digit=10, net=10
i=1, digit=10, net=10
i=2, digit=10, net=10
i=3, digit=10, net=10
i=4, digit=10, net=10
i=5, digit=10, net=10
i=6, digit=10, net=10
i=7, digit=10, net=10
i=8, digit=10, net=10
i=9, digit=10, net=10
i=10, digit=10, net=10
i=11, digit=10, net=10
i=12, digit=10, net=10
i=13, digit=10, net=10
i=14, digit=10, net=10
i=15, digit=10, net=10
i=16, digit=10, net=10
i=17, digit=10, net=10
i=18, digit=10, net=10
i=19, digit=10, net=10
i=20, digit=10, net=10
i=21, digit=10, net=10
i=22, digit=10, net=10
i=23, digit=10, net=10
i=24, digit=10, net=10
i=25, digit=10, net=10
i=26, digit=10, net=10
i=27, digit=10, net=10
i=28, digit=10, net=10
i=29, digit=10, net=10
i=30, digit=10, net=10
i=31, digit=10, net=10
i=32, digit=10, net=10
i=33, digit=10, net=10
i=34, digit=10, net=10
i=35, digit=10, net=10
i=36, digit=10, net=10
i=37, digit=10, net=10
i=38, digit=10, net=10
i=39, digit=10, net=10
i=40, digit=10, net=10
i=41, digit=10, net=10
i=42, digit=10, net=10
i=43, digit=10, net=10
i=44, digit=10, net=10
i=45, digit=10, net=10
i=46, digit=10, net=10
i=47, digit=10, net=10
i=48, digit=10, net=10
i=49, digit=10, net=10
i=50, digit=10, net=10
i=51, digit=10, net=10
i=52, digit=10, net=10
i=53, digit=10, net=10
i=54, digit=10, net=10
i=55, digit=10, net=10
i=56, digit=10, net=10
i=57, digit=10, net=10
i=58, digit=10, net=10
i=59, digit=10, net=10
i=60, digit=10, net=10
i=61, digit=10, net=10
i=62, digit=10, net=10
i=63, digit=10, net=10
i=64, digit=10, net=10
i=65, digit=10, net=10
i=66, digit=10, net=10
i=67, digit=10, net=10
i=68, digit=10, net=10
i=69, digit=10, net=10
i=70, digit=10, net=10
i=71, digit=10, net=10
i=72, digit=10, net=10
i=73, digit=10, net=10
i=74, digit=10, net=10
i=75, digit=10, net=10
i=76, digit=10, net=10
i=77, digit=10, net=10
i=78, digit=10, net=10
i=79, digit=10, net=10
i=80, digit=10, net=10
i=81, digit=10, net=10
i=82, digit=10, net=10
i=83, digit=10, net=10
i=84, digit=10, net=10
i=85, digit=10, net=10
i=86, digit=10, net=10
i=87, digit=10, net=10
i=88, digit=10, net=10
i=89, digit=10, net=10
i=90, digit=10, net=10
i=91, digit=10, net=10
i=92, digit=10, net=10
i=93, digit=10, net=10
i=94, digit=10, net=10
i=95, digit=10, net=10
i=96, digit=10, net=10
i=97, digit=10, net=10
i=98, digit=10, net=10
i=99, digit=10, net=10
i=100, digit=10, net=10
i=101, digit=10, net=10
i=102, digit=10, net=10
i=103, digit=10, net=10
i=104, digit=10, net=10
i=105, digit=10, net=10
i=106, digit=10, net=10
i=107, digit=10, net=10
i=108, digit=10, net=10
i=109, digit=10, net=10
i=110, digit=10, net=10
i=111, digit=10, net=10
i=112, digit=10, net=10
i=113, digit=10, net=10
i=114, digit=10, net=10
i=115, digit=10, net=10
i=116, digit=10, net=10
i=117, digit=10, net=10
i=118, digit=10, net=10
i=119, digit=10, net=10
i=120, digit=10, net=10
i=121, digit=10, net=10
i=122, digit=10, net=10
i=123, digit=10, net=10
i=124, digit=10, net=10
i=125, digit=10, net=10
i=126, digit=10, net=10
i=127, digit=10, net=10
i=128, digit=10, net=10
i=129, digit=10, net=10
i=130, digit=10, net=10
i=131, digit=10, net=10
i=132, digit=10, net=10
i=133, digit=10, net=10
i=134, digit=10, net=10
i=135, digit=10, net=10
i=136, digit=10, net=10
i=137, digit=10, net=10
i=138, digit=10, net=10
i=139, digit=10, net=10
i=140, digit=10, net=10
i=141, digit=10, net=10
i=142, digit=10, net=8
i=143, digit=10, net=10
i=144, digit=10, net=10
i=145, digit=10, net=10
i=146, digit=10, net=10
i=147, digit=10, net=10
i=148, digit=10, net=10
i=149, digit=10, net=10
i=150, digit=10, net=10
i=151, digit=10, net=10
i=152, digit=10, net=10
i=153, digit=10, net=10
i=154, digit=10, net=10
i=155, digit=10, net=10
i=156, digit=10, net=10
i=157, digit=10, net=10
i=158, digit=10, net=10
i=159, digit=10, net=10
i=160, digit=10, net=10
i=161, digit=10, net=10
i=162, digit=10, net=10
i=163, digit=10, net=10
i=164, digit=10, net=10
i=165, digit=10, net=10
i=166, digit=10, net=10
i=167, digit=10, net=10
i=168, digit=10, net=10
i=169, digit=10, net=10
i=170, digit=10, net=10
i=171, digit=10, net=10
i=172, digit=10, net=10
i=173, digit=10, net=10
i=174, digit=10, net=10
i=175, digit=10, net=10
i=176, digit=10, net=10
i=177, digit=10, net=10
i=178, digit=10, net=10
i=179, digit=10, net=10
i=180, digit=10, net=10
i=181, digit=10, net=10
i=182, digit=10, net=10
i=183, digit=10, net=10
i=184, digit=10, net=10
i=185, digit=10, net=10
